frame descr
DS1105-2170DF028_b  Московская область: Монино, Ногинск  Электрогорск. Владимирская область: Ветчи
DS1105-2170DF028_b  Московская область: Барвиха  Москва от Павелецкой до Отрадного Московская область до Монино
DS1105-2170DF028_d  Московская область: Можайск - Тучково - Посёлок Санатория имени Герцена
